timestamp,rpm,temperature,pressure,vibration,load,fuel_flow,altitude,ambient_temperature,state,fault
2026-08-23T18:30:45.198689,4725.5,107.76,3.78,2.4,65.0,12.4,1496.1,22.95,FAULT,OVERHEATING
2026-08-23T18:30:46.198689,4812.6,108.19,3.91,2.45,65.0,12.49,1508.8,21.51,FAULT,OVERHEATING
2026-08-23T18:30:47.198689,4693.4,115.78,3.94,1.4,65.0,11.85,1496.4,21.91,FAULT,OVERHEATING
2026-08-23T18:30:48.198689,4774.4,118.16,3.76,1.97,65.0,12.6,1511.3,21.58,FAULT,OVERHEATING
2026-08-23T18:30:49.198689,4759.7,117.38,3.65,1.12,65.0,11.93,1516.5,20.9,FAULT,OVERHEATING
2026-08-23T18:30:50.198689,4863.9,120.58,3.96,2.18,65.0,12.71,1515.7,21.88,FAULT,OVERHEATING
2026-08-23T18:30:51.198689,4721.1,115.53,3.88,1.98,65.0,12.19,1516.0,21.07,FAULT,OVERHEATING
2026-08-23T18:30:52.198689,4712.5,116.64,3.63,2.76,65.0,11.54,1495.8,21.74,FAULT,OVERHEATING
2026-08-23T18:30:53.198689,4885.7,120.21,3.61,1.71,65.0,12.44,1489.9,22.32,FAULT,OVERHEATING
2026-08-23T18:30:54.198689,4709.0,108.7,3.97,2.74,65.0,11.54,1522.9,22.47,FAULT,OVERHEATING
2026-08-23T18:30:55.198689,4762.7,111.21,3.94,2.66,65.0,12.58,1496.8,21.89,FAULT,OVERHEATING
2026-08-23T18:30:56.198689,4784.0,117.37,3.87,2.82,65.0,11.74,1445.9,21.94,FAULT,OVERHEATING
2026-08-23T18:30:57.198689,4783.6,109.19,3.97,1.94,65.0,12.63,1514.5,21.78,FAULT,OVERHEATING
2026-08-23T18:30:58.198689,4770.2,103.85,3.65,1.61,65.0,13.43,1511.6,21.71,FAULT,OVERHEATING
2026-08-23T18:30:59.198689,4733.4,112.21,3.79,1.58,65.0,11.98,1492.4,22.55,FAULT,OVERHEATING
2026-08-23T18:31:00.198689,4765.3,111.62,3.71,2.03,65.0,12.84,1518.0,21.92,FAULT,OVERHEATING
2026-08-23T18:31:01.198689,4709.2,113.97,4.0,2.27,65.0,13.05,1502.6,21.88,FAULT,OVERHEATING
2026-08-23T18:31:02.198689,4779.2,115.55,3.81,1.84,65.0,12.16,1493.4,21.21,FAULT,OVERHEATING
2026-08-23T18:31:03.198689,4707.8,103.44,3.98,1.08,65.0,12.5,1516.6,21.63,FAULT,OVERHEATING
2026-08-23T18:31:04.198689,4761.4,110.28,3.87,1.63,65.0,12.89,1495.5,22.46,FAULT,OVERHEATING
2026-08-23T18:31:05.198689,4681.7,118.45,3.99,1.73,65.0,12.4,1509.9,22.12,FAULT,OVERHEATING
2026-08-23T18:31:06.198689,4744.3,106.75,3.83,1.94,65.0,12.32,1494.1,22.41,FAULT,OVERHEATING
2026-08-23T18:31:07.198689,4830.0,119.67,3.82,1.81,65.0,12.2,1518.6,22.41,FAULT,OVERHEATING
2026-08-23T18:31:08.198689,4742.0,107.5,3.95,1.74,65.0,12.45,1510.0,21.11,FAULT,OVERHEATING
2026-08-23T18:31:09.198689,4840.3,106.67,3.89,1.46,65.0,12.63,1487.0,22.28,FAULT,OVERHEATING
2026-08-23T18:31:10.198689,4848.4,118.88,3.89,1.76,65.0,12.84,1486.5,22.25,FAULT,OVERHEATING
2026-08-23T18:31:11.198689,4991.6,121.41,3.94,2.03,65.0,13.36,1469.8,20.88,FAULT,OVERHEATING
2026-08-23T18:31:12.198689,4878.5,121.55,3.91,1.98,65.0,11.74,1490.6,21.48,FAULT,OVERHEATING
2026-08-23T18:31:13.198689,4804.2,108.78,3.86,2.15,65.0,12.22,1493.5,22.06,FAULT,OVERHEATING
2026-08-23T18:31:14.198689,4777.4,121.07,3.72,2.76,65.0,12.11,1515.9,21.61,FAULT,OVERHEATING
2026-08-23T18:31:15.198689,4831.9,103.26,3.7,2.3,65.0,12.25,1484.4,20.99,FAULT,OVERHEATING
2026-08-23T18:31:16.198689,4897.6,115.24,3.86,1.99,65.0,13.3,1474.1,22.12,FAULT,OVERHEATING
2026-08-23T18:31:17.198689,4656.1,110.04,3.92,1.84,65.0,12.84,1523.4,22.8,FAULT,OVERHEATING
2026-08-23T18:31:18.198689,4731.6,119.47,4.0,1.45,65.0,11.92,1511.4,22.12,FAULT,OVERHEATING
2026-08-23T18:31:19.198689,4719.9,108.37,3.79,2.21,65.0,12.5,1499.1,22.25,FAULT,OVERHEATING
2026-08-23T18:31:20.198689,4814.1,105.49,3.97,2.78,65.0,12.38,1515.2,22.3,FAULT,OVERHEATING
2026-08-23T18:31:21.198689,4731.4,109.32,3.87,2.46,65.0,12.18,1492.7,22.16,FAULT,OVERHEATING
2026-08-23T18:31:22.198689,4866.6,105.48,3.78,1.92,65.0,12.12,1508.2,22.15,FAULT,OVERHEATING
2026-08-23T18:31:23.198689,4815.9,110.47,3.76,1.62,65.0,12.68,1480.1,21.56,FAULT,OVERHEATING
2026-08-23T18:31:24.198689,4832.2,112.92,3.72,1.46,65.0,12.79,1489.1,22.09,FAULT,OVERHEATING
2026-08-23T18:31:25.198689,4875.8,113.72,3.72,2.18,65.0,11.76,1513.9,22.45,FAULT,OVERHEATING
2026-08-23T18:31:26.198689,4769.9,120.96,3.68,1.97,65.0,12.95,1519.7,22.64,FAULT,OVERHEATING
2026-08-23T18:31:27.198689,4831.3,116.25,3.65,1.43,65.0,12.45,1480.8,22.53,FAULT,OVERHEATING
2026-08-23T18:31:28.198689,4864.3,103.1,3.94,2.02,65.0,12.38,1505.8,22.12,FAULT,OVERHEATING
2026-08-23T18:31:29.198689,4951.9,120.61,3.93,2.11,65.0,13.06,1520.0,21.56,FAULT,OVERHEATING
2026-08-23T18:31:30.198689,4665.1,122.05,3.77,2.03,65.0,12.4,1502.0,21.41,FAULT,OVERHEATING
2026-08-23T18:31:31.198689,4798.8,117.3,3.96,1.07,65.0,12.83,1505.0,21.14,FAULT,OVERHEATING
2026-08-23T18:31:32.198689,4741.3,107.84,3.93,2.0,65.0,13.05,1500.3,21.5,FAULT,OVERHEATING
